n,Iterative,Recursive
1412,10691,128297
1413,10692,173201
1414,11119,118032
1415,10691,118460
1416,11119,118461
1417,10692,118888
1418,10692,119316
1419,10691,122737
1420,11119,118888
1421,10691,118033
1422,10692,122737
1423,10264,115466
1424,10691,112046
1425,10692,163791
1426,10691,124876
1427,10691,120599
1428,10691,120171
1429,10691,121026
1430,10692,384462
1431,11120,121026
1432,10691,120171
1433,10692,126586
1434,11119,124875
1435,10691,125303
1436,11119,120171
1437,10691,124020
1438,11119,127442
1439,11119,133856
1440,11119,133856
1441,10691,132573
1442,10691,115895
1443,11119,141126
1444,11119,128724
1445,10692,135138
1446,11119,134284
1447,10691,175766
1448,11120,135567
1449,11119,120599
1450,11119,130007
1451,11119,124448
1452,11119,189879
1453,11974,128724
1454,11546,121027
1455,11547,114611
1456,11119,113329
1457,10691,115895
1458,11119,112045
1459,11119,115039
1460,11119,139416
1461,10692,122736
1462,12830,113328
1463,10692,112901
1464,11546,117178
1465,10692,117177
1466,11974,156094
1467,10691,121454
1468,11119,133001
1469,11119,114612
1470,10263,121027
1471,10264,120598
1472,11119,1092230
1473,11119,120171
1474,11119,123164
1475,11119,124447
1476,11119,124875
1477,14113,165074
1478,11119,123164
1479,11119,121882
1480,11119,122310
1481,11119,122309
1482,11546,122309
1483,127869,269850
1484,11547,129151
1485,11547,126158
1486,49180,161654
1487,11119,127013
1488,11546,160798
1489,11119,277548
1490,11546,145403
1491,11547,123164
1492,11119,123164
1493,11546,123592
1494,11547,146686
1495,11546,122736
1496,11119,123165
1497,11119,123592
1498,11546,280113
1499,11547,131290
1500,11547,129151
1501,11547,135139
1502,11547,131290
1503,11547,242052
1504,11546,209979
1505,11547,129580
1506,11546,129152
1507,11119,127869
1508,11119,153528
1509,11547,125303
1510,11119,124020
1511,11547,141126
1512,11119,25108881
1513,11974,229651
1514,11975,134283
1515,12402,126158
1516,11547,127441
1517,11547,133000
1518,11119,126586
1519,11546,137705
1520,11546,140699
1521,11547,144120
1522,11547,131717
1523,11546,122737
1524,11119,121881
1525,11546,130435
1526,11975,130007
1527,11547,122736
1528,11546,151818
1529,11547,130435
1530,11546,137278
1531,11547,133428
1532,11119,126586
1533,11119,121454
1534,11119,155666
1535,11547,213827
1536,11975,138987
1537,11547,125302
1538,11547,126158
1539,11547,403278
1540,11546,127441
1541,11975,135566
1542,12402,130007
1543,11974,124020
1544,11975,195438
1545,11119,151817
1546,11547,129152
1547,11547,144975
1548,11547,143264
1549,11547,139415
1550,11547,128296
1551,11975,134711
1552,11547,135139
1553,11974,139843
1554,11974,145403
1555,11547,135567
1556,11974,130862
1557,14113,129580
1558,11547,128297
1559,11547,128296
1560,11547,129579
1561,11547,128296
1562,11546,148824
1563,11547,129152
1564,11974,130435
1565,11974,129579
1566,11975,129151
1567,12402,132145
1568,11974,129152
1569,11975,128724
1570,11547,128724
1571,11975,129151
1572,12402,129152
1573,11974,129151
1574,11974,135994
1575,12402,159087
1576,11975,151817
1577,11975,161226
1578,11974,392587
1579,11546,154384
1580,12402,141126
1581,11974,418247
1582,11974,132573
1583,11975,131718
1584,11974,128724
1585,11975,130862
1586,11974,130862
1587,11974,134711
1588,12402,131290
1589,11975,130435
1590,11974,131718
1591,11974,153100
1592,12402,215965
1593,12402,287384
1594,12402,238203
1595,12402,220242
1596,12402,285245
1597,12402,217248
1598,13258,223663
1599,11975,218959
1600,12402,223236
1601,13257,228367
1602,12402,221952
1603,13258,221525
1604,12830,225374
1605,12402,222808
1606,12830,226657
1607,12402,212544
1608,12402,441767
1609,11974,257448
1610,12402,234782
1611,12830,218532
1612,15823,280541
1613,12402,330577
1614,12402,251033
1615,11547,230078
1616,11546,265574
1617,11974,200998
1618,15396,148823
1619,13258,250606
1620,11974,244191
1621,12402,255737
1622,12830,251460
1623,12402,260014
1624,13258,248895
1625,12402,230506
1626,12402,230934
1627,12830,250606
1628,12402,232644
1629,11974,238203
1630,13257,286956
1631,12830,225801
1632,12402,234783
1633,11975,228368
1634,11975,226229
1635,12402,5438483
1636,12829,463578
1637,12830,374197
1638,12402,241625
1639,13685,229650
1640,12402,160798
1641,12402,150534
1642,12402,371632
1643,12402,217677
1644,11975,334426
1645,11546,216821
1646,11547,246756
1647,11974,1208552
1648,12402,302352
1649,12830,276265
1650,12402,274982
1651,12402,263862
1652,12402,241197
1653,12829,236493
1654,12402,437063
1655,12402,322879
1656,12830,295509
1657,12402,268139
1658,13257,162509
1659,11975,172344
1660,11974,147541
1661,12402,146258
1662,12402,156950
1663,12402,147969
1664,11974,181326
